source,stream,material,amount (kg/MW),amount (kg/MWh),coordinate mining site,location mining,reference mining,mining assumptions,coordinate manufacturing,location processing,reference processing,
gas,back_waste,aluminum,48.96,0.000219178,"(55.339722,-160.497222)",,,,,,,
hydro,back_waste,aluminum,380.450304,0.002088,"(37.8833,-84.1017)",,,,,,,
coal,back_waste,aluminum,100.56,0.000546641,"(32.16,-110.9047)",,,,,,,
wind,back_waste,aluminum,2006.7,0.045815068,"(32.673097,-115.392026)",,,,,,,
solar,back_waste,aluminum,4560,0.115677321,"(33.764741,-118.09913)",,,,,,,
nuclear,back_waste,aluminum,18.07,0.0000382,"(38.2268,-121.0245)",,,,,,,
gas,front_need,aluminum,204,0.000913242,"(31.0069,-88.0103)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
hydro,front_need,aluminum,1585.2096,0.0087,"(59.4545,-135.3131)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
coal,front_need,aluminum,419,0.002277669,"(58.1415,-133.737)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
wind,front_need,aluminum,8026.8,0.183260274,"(36.190278,-95.2894)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
solar,front_need,aluminum,19000,0.481988838,"(33.7706,-118.2656)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
nuclear,front_need,aluminum,18.07,0.0000382,"(38.765336,-120.787366)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
gas,front_waste,aluminum_mining_w,476,0.002130898,"(-12.666666666667,141.86666666667)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
hydro,front_waste,aluminum_mining_w,3698.8224,0.0203,"(-12.666666666667,141.86666666667)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
coal,front_waste,aluminum_mining_w,977.6666667,0.005314561,"(-12.666666666667,141.86666666667)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
wind,front_waste,aluminum_mining_w,18729.2,0.427607306,"(-12.666666666667,141.86666666667)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
solar,front_waste,aluminum_mining_w,44333.33333,1.124640622,"(-12.666666666667,141.86666666667)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
nuclear,front_waste,aluminum_mining_w,42.16333333,0.0000891,"(-12.666666666667,141.86666666667)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
nuclear,back_waste,antimony,0.02,4.23E-08,"(48.620336,-118.111059)",,,,,,,
nuclear,front_need,antimony,0.02,4.23E-08,"(34.2056,-117.3344)",Xikuangshan Mine," @article{Fang_Zhou_Li_Zhou_Pan_He_2021, title={Response of antimony and arsenic in karst aquifers and groundwater geochemistry to the influence of mine activities at the world’s largest antimony mine, central China}, volume={603}, ISSN={0022-1694}, DOI={https://doi.org/10.1016/j.jhydrol.2021.127131}, abstractNote={The elevated levels of antimony (Sb) and arsenic (As) in groundwater caused by mine activities is of particular global concern. Understanding pollution mechanism of Sb and As related to mine activities and their influence on karst groundwater geochemistry is of great significance. However, it is still unclear. To address such questions, Sb and As and major ions, δ34S and δ18O of dissolved sulfate as well as δD and δ18O of water were analyzed for groundwater sampled from three main karst aquifers at the Xikuangshan (XKS) antimony mine from 2013 to 2017. Spatial and temporal variations of Sb and As of the three main karst aquifers were characterized as that, (1) Sb concentrations, rather than As, varied with aquifers, with high Sb (1–50 mg/L) of the D3s2 and C1y3 aquifers and low Sb (0.01–1.0 mg/L) of the D3x4 aquifer; (2) As concentrations had significant seasonal effect that was higher in winter and lower in summer, whereas Sb concentrations did not differ seasonally. Here we applied a recently developed cluster analysis method as well as geochemical indicators to identify pollution types of Sb and As in groundwater related to complex mine activities, and further to reveal main effects on karst groundwater geochemistry. The cluster analysis yielded a classification of four clusters, which was confirmed by principal component analysis. The groundwater of cluster 3 is of weakly alkaline HCO3-Ca type with low Sb (<0.015 mg/L) and low As (<0.005 mg/L), which is typical karst groundwater controlled by limestone dissolution. Whereas the other three clusters with high concentrations of Sb and As were identified to represent three pollution patterns dominated by oxidative dissolution of stibnite, leaching of mine wastes, and mixed pollution, respectively. Moreover, the effects of long-term mine activities on karst groundwater geochemistry are revealed, including: (1) Hydrogeochemical compositions of groundwater changed from HCO3-Ca type to SO4-Ca type. (2) Sulfuric acid significantly participated in carbonate weathering. (3) Weathering of silicate (main as silicified limestone) by H2CO3 and H2SO4 was accelerated. (4) Cation-exchange was enhanced to dominate groundwater geochemistry. Another striking finding is that sulfur and oxygen isotopes of sulfate can effectively distinguish sulfate sources related to mine activities and to trace Sb sources in karst groundwater.}, journal={Journal of Hydrology}, author={Fang, Ling and Zhou, Aiguo and Li, Xiaoqian and Zhou, Jianwei and Pan, Guofang and He, Ningjie}, year={2021}, pages={127131} }","Many references named Xikuangshan was the world's largest antimony mine. However, many of them reference back to 2007, 2011, and 2013 articles.",,,,
coal,oper_waste,antimony,0.754236,0.0000041,"(57.0516,-135.2297)",,,,,,,
nuclear,front_waste,antimony_mining_w,2.921176471,0.00000618,"(27.78333,111.48333)",Xikuangshan Mine," @article{Fang_Zhou_Li_Zhou_Pan_He_2021, title={Response of antimony and arsenic in karst aquifers and groundwater geochemistry to the influence of mine activities at the world’s largest antimony mine, central China}, volume={603}, ISSN={0022-1694}, DOI={https://doi.org/10.1016/j.jhydrol.2021.127131}, abstractNote={The elevated levels of antimony (Sb) and arsenic (As) in groundwater caused by mine activities is of particular global concern. Understanding pollution mechanism of Sb and As related to mine activities and their influence on karst groundwater geochemistry is of great significance. However, it is still unclear. To address such questions, Sb and As and major ions, δ34S and δ18O of dissolved sulfate as well as δD and δ18O of water were analyzed for groundwater sampled from three main karst aquifers at the Xikuangshan (XKS) antimony mine from 2013 to 2017. Spatial and temporal variations of Sb and As of the three main karst aquifers were characterized as that, (1) Sb concentrations, rather than As, varied with aquifers, with high Sb (1–50 mg/L) of the D3s2 and C1y3 aquifers and low Sb (0.01–1.0 mg/L) of the D3x4 aquifer; (2) As concentrations had significant seasonal effect that was higher in winter and lower in summer, whereas Sb concentrations did not differ seasonally. Here we applied a recently developed cluster analysis method as well as geochemical indicators to identify pollution types of Sb and As in groundwater related to complex mine activities, and further to reveal main effects on karst groundwater geochemistry. The cluster analysis yielded a classification of four clusters, which was confirmed by principal component analysis. The groundwater of cluster 3 is of weakly alkaline HCO3-Ca type with low Sb (<0.015 mg/L) and low As (<0.005 mg/L), which is typical karst groundwater controlled by limestone dissolution. Whereas the other three clusters with high concentrations of Sb and As were identified to represent three pollution patterns dominated by oxidative dissolution of stibnite, leaching of mine wastes, and mixed pollution, respectively. Moreover, the effects of long-term mine activities on karst groundwater geochemistry are revealed, including: (1) Hydrogeochemical compositions of groundwater changed from HCO3-Ca type to SO4-Ca type. (2) Sulfuric acid significantly participated in carbonate weathering. (3) Weathering of silicate (main as silicified limestone) by H2CO3 and H2SO4 was accelerated. (4) Cation-exchange was enhanced to dominate groundwater geochemistry. Another striking finding is that sulfur and oxygen isotopes of sulfate can effectively distinguish sulfate sources related to mine activities and to trace Sb sources in karst groundwater.}, journal={Journal of Hydrology}, author={Fang, Ling and Zhou, Aiguo and Li, Xiaoqian and Zhou, Jianwei and Pan, Guofang and He, Ningjie}, year={2021}, pages={127131} }","Many references named Xikuangshan was the world's largest antimony mine. However, many of them reference back to 2007, 2011, and 2013 articles.",,,,
coal,oper_waste,arsenic,9.01404,0.000049,"(33.466477,-111.781064)",,,,,,,
nuclear,back_waste,asbestos,138.24,0.000292237,"(28.4822,-81.1678)",,,,,,,
nuclear,front_need,asbestos,138.24,0.000292237,"(57.00828525956945, 61.49193052329282)",Uralasbest Mine," @misc{shleynov_2010, title={Russia: The world's Asbestos Behemoth}, url={https://www.icij.org/investigations/dangers-dust/russia-worlds-asbestos-behemoth/#:~:text=MOSCOW%20%E2%80%94%20In%20the%20aptly%20named,massive%20open%2Dpit%20Uralasbest%20mine.}, journal={ICIJ}, publisher={The International Consortium of Investigative Journalists}, author={Shleynov, Roman}, year={2010}, month={Jul}} ",Many articles refer to a mine in Asbest as the largest Asbestos mine. The latest web article that I could find dated back to 2016.,,,,
nuclear,front_waste,asbestos_mining_w,2626.56,0.005552511,"(57.00828525956945, 61.49193052329282)",Uralasbest Mine," @misc{shleynov_2010, title={Russia: The world's Asbestos Behemoth}, url={https://www.icij.org/investigations/dangers-dust/russia-worlds-asbestos-behemoth/#:~:text=MOSCOW%20%E2%80%94%20In%20the%20aptly%20named,massive%20open%2Dpit%20Uralasbest%20mine.}, journal={ICIJ}, publisher={The International Consortium of Investigative Journalists}, author={Shleynov, Roman}, year={2010}, month={Jul}} ",Many articles refer to a mine in Asbest as the largest Asbestos mine. The latest web article that I could find dated back to 2016.,,,,
coal,oper_waste,ash,4726484.28,25.693,"(33.371506,-80.113235)",,,,,,,
coal,oper_waste,barium,2.39148,0.000013,"(33.4225,-111.9122)",,,,,,,
gas,oper_waste,benzene,14117.616,0.0632,"(31.4033,-86.479469)",,,,,,,
coal,oper_waste,beryllium,0.294336,0.0000016,"(33.4225,-111.9122)",,,,,,,
coal,oper_waste,boron,3127.32,0.017,"(33.4225,-111.9122)",,,,,,,
nuclear,back_waste,cadmium,0.16,0.000000338,"(38.5857,-75.2341)",,,,,,,
nuclear,front_need,cadmium,0.16,0.000000338,"(39.101667,-108.345556)","Fankou Mine, China",https://www.mining-technology.com/marketdata/five-largest-zinc-mines-china-2020/ and https://www.globaldata.com/data-insights/mining/china--five-largest-zinc-mines-in-2090639/,"Largest cadmium refinery and production occurs in China (followed by South Korea). Cadmium is found in zinc ores and greenockite, but most cadmium is a result of zinc, copper, and lead mining. Searched largest zinc mine in China.",,,,
coal,oper_waste,cadmium,0.754236,0.0000041,"(33.4225,-111.9122)",,,,,,,
nuclear,front_waste,cadmium_mining_w,10666.50667,0.022548847,"(40.4856,-107.185)","Fankou Mine, China","https://www.mining-technology.com/marketdata/five-largest-zinc-mines-china-2020/ and https://www.globaldata.com/data-insights/mining/china--five-largest-zinc-mines-in-2090639/
https://www.cadmium.org/wp-content/uploads/2021/11/icda-report-on-worldwide-cadmium-production-and-trade-2020.pdf","Largest cadmium refinery and production occurs in China (followed by South Korea). Cadmium is found in zinc ores and greenockite, but most cadmium is a result of zinc, copper, and lead mining. Searched largest zinc mine in China.",,,,
wind,back_waste,chromium,902,0.020593607,"(34.0818,-117.2418)",,,,,,,
nuclear,back_waste,chromium,414.85,0.000876987,"(28.4822,-81.1678)",,,,,,,
wind,front_need,chromium,902,0.020593607,"(40.7415,-124.2103)","Bushveld Igneous Complex, South Africa",https://projectsiq.co.za/chrome-mining-companies-in-south-africa.htm and https://mbendi.co.za/indy/ming/chrm/af/sa/p0005.htm ,South Africa produces the most chromium in the world (70% of world's total chrome reserves).,,,,
nuclear,front_need,chromium,414.85,0.000876987,"(37.695994,-120.420152)","Bushveld Igneous Complex, South Africa",https://projectsiq.co.za/chrome-mining-companies-in-south-africa.htm and https://mbendi.co.za/indy/ming/chrm/af/sa/p0005.htm ,South Africa produces the most chromium in the world (70% of world's total chrome reserves).,,,,
coal,oper_waste,chromium,10.85364,0.000059,"(33.4225,-111.9122)",,,,,,,
wind,front_waste,chromium_mining_w,2024.670993,0.046225365,"(31.4219,-96.2525)","Bushveld Igneous Complex, South Africa",https://projectsiq.co.za/chrome-mining-companies-in-south-africa.htm and https://mbendi.co.za/indy/ming/chrm/af/sa/p0005.htm ,South Africa produces the most chromium in the world (70% of world's total chrome reserves).,,,,
nuclear,front_waste,chromium_mining_w,931.1915315,0.001968526,"(33.9001,-117.82905)","Bushveld Igneous Complex, South Africa",https://projectsiq.co.za/chrome-mining-companies-in-south-africa.htm and https://mbendi.co.za/indy/ming/chrm/af/sa/p0005.htm ,South Africa produces the most chromium in the world (70% of world's total chrome reserves).,,,,
gas,oper_waste,CO,64110.06,0.287,"(32.806025,-86.444892)",,,,,,,
coal,oper_waste,CO,24650.64,0.134,"(29.733056,-81.632778)",,,,,,,
gas,front_waste,CO2,26576.68236,0.11897521,"(32.6017,-87.7811)",,,,,,,
hydro,front_waste,CO2,2733120,15,"(37.8833,-84.1017)",,,,,,,
coal,front_waste,CO2,35672.9226,0.193916735,"(32.16,-110.9047)",,,,,,,
wind,front_waste,CO2,481800,11,"(37.877667,-119.953233)",,,,,,,
solar,front_waste,CO2,1971000,50,"(61.0828,-146.3033)",,,,,,,
nuclear,front_waste,CO2,5676480,12,"(33.8361,-117.1831)",,,,,,,
gas,oper_waste,CO2,98287200,440,"(34.7042,-87.1189)",,,,,,,
coal,oper_waste,CO2,188007120,1022,"(33.371506,-80.113235)",,,,,,,
gas,oper_need,coal,402084,1.8,"(43.558889,-105.288333)",North Antelope Rochelle Mine," @book{annual coal report 2020_2021, place={Washington, D.C.}, journal={Annual Coal Report 2020}, publisher={Energy Information Administration}, year={2021}, pages={i-68}} ",Based on US mines,,,,
coal,oper_need,coal,82414080,448,"(43.558889,-105.288333)",North Antelope Rochelle Mine," @book{annual coal report 2020_2021, place={Washington, D.C.}, journal={Annual Coal Report 2020}, publisher={Energy Information Administration}, year={2021}, pages={i-68}} ",Based on US mines,,,,
coal,oper_waste,coal_mining_w,316977230.8,1723.076923,"(33.3556,-111.9353)",,,,,,,
coal,oper_waste,cobalt,1.269324,0.0000069,"(33.4417,-112.1583)",,,,,,,
gas,back_waste,concrete,97749,0.437590653,"(31.0069,-88.0103)",,,,,,,
hydro,back_waste,concrete,7644000,41.95205479,"(40.580872,-98.312437)",,,,,,,
coal,back_waste,concrete,158758,0.863002827,"(32.16,-110.9047)",,,,,,,
solar,back_waste,concrete,0,0,"(33.764741,-118.09913)",,,,,,,
nuclear,back_waste,concrete,166348.67,0.351658782,"(32.711611,-114.942666)",,,,,,,
gas,front_need,concrete,97749,0.437590653,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
hydro,front_need,concrete,7644000,41.95205479,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
coal,front_need,concrete,158758,0.863002827,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
wind,front_need,concrete,2246400,51.28767123,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
solar,front_need,concrete,47000,1.192288179,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
nuclear,front_need,concrete,166348.67,0.351658782,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
gas,front_waste,concrete_mining_w,13753.2843,0.061569005,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
hydro,front_waste,concrete_mining_w,1075510.8,5.90265411,"(29.61407779151177,-98.57272320243285)",Beckmann Quarry," @misc{beckmann quarry_2014, title={The Quarry}, url={http://www.beckmannquarry.com/about/}, journal={Beckmann Quarry}, year={2014}, month={Feb}} ","Not necessarily the largest, but it is ""one of the largest aggregate mines in Texas and the nation"" ",,,,
